ID,COUNTY,POPULATION,PROVINCE,,,
1,Dublin,"2140164",Leinster,,,
2,Antrim,"618108",Ulster,,,
3,Cork,"542868",Munster,,,
4,Down,"531665",Ulster,,,
5,Galway,"258058",Connacht,,,
6,Londonderry,"247132",Ulster,,,
7,Kildare,"222504",Leinster,,,
8,Meath,"195044",Leinster,,,
9,Limerick,"194899",Munster,,,
10,Tyrone,"179000",Ulster,,,
11,Armagh,"174792",Ulster,,,
12,Tipperary,"159553",Munster,,,
13,Donegal,"159192",Ulster,,,
14,Wexford,"149722",Leinster,,,
15,Kerry,"147707",Munster,,,
16,Wicklow,"142425",Leinster,,,
17,Mayo,"130507",Connacht,,,
18,Louth,"128884",Leinster,,,
19,Clare,"118817",Munster,,,
20,Waterford,"116176",Munster,,,
21,Kilkenny,"99232",Leinster,,,
22,Westmeath,"88770",Leinster,,,
23,Laois,"84697",Leinster,,,
24,Offaly,"77961",Leinster,,,
25,Cavan,"76176",Ulster,,,
26,Sligo,"65535",Connacht,,,
27,Roscommon,"64544",Connacht,,,
28,Monaghan,"61386",Ulster,,,
29,Fermanagh,"61170",Ulster,,,
30,Carlow,"56932",Leinster,,,
31,Longford,"40873",Leinster,,,
32,Leitrim,"32044",Connacht,,,
